Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commission (in value),Gender,Age
EPX,Travel Agency,Offline,2 way Comprehensive Plan,0,46,UNITED STATES,76.0,0.0,None,46
C2B,Airlines,Online,Bronze Plan,0,38,SINGAPORE,16.0,4.0,M,34
EPX,Travel Agency,Online,Cancellation Plan,0,3,VIET NAM,10.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,28,AUSTRALIA,39.6,23.76,None,23
EPX,Travel Agency,Online,Cancellation Plan,0,16,HONG KONG,25.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,191,PHILIPPINES,15.0,0.0,None,36
JZI,Airlines,Online,Value Plan,0,44,AUSTRALIA,58.0,20.3,None,118
EPX,Travel Agency,Offline,1 way Comprehensive Plan,1,18,CHINA,33.0,0.0,None,118
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,71,PHILIPPINES,20.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,97,INDONESIA,29.0,0.0,None,32
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,123,CHINA,52.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,153,SINGAPORE,53.0,13.25,F,32
EPX,Travel Agency,Online,Cancellation Plan,0,43,VIET NAM,24.0,0.0,None,40
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,9,INDONESIA,20.0,0.0,None,30
SSI,Airlines,Online,Ticket Protector,0,89,SINGAPORE,11.7,3.28,None,48
EPX,Travel Agency,Online,Cancellation Plan,0,2,BRUNEI DARUSSALAM,19.0,0.0,None,35
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,93,NEW ZEALAND,9.9,5.94,None,28
EPX,Travel Agency,Online,Cancellation Plan,0,7,AUSTRALIA,38.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,66,SINGAPORE,23.5,5.88,F,40
EPX,Travel Agency,Online,Cancellation Plan,0,43,NEPAL,24.0,0.0,None,36
CBH,Travel Agency,Offline,Comprehensive Plan,0,77,MALAYSIA,29.0,9.57,F,66
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,16,CHINA,82.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,9,SINGAPORE,20.0,5.0,M,28
EPX,Travel Agency,Online,Cancellation Plan,0,2,MALAYSIA,10.0,0.0,None,49
EPX,Travel Agency,Online,Cancellation Plan,0,8,THAILAND,20.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,1,27,SINGAPORE,60.0,15.0,M,30
TST,Travel Agency,Offline,Travel Cruise Protect,0,70,MALAYSIA,30.0,10.5,F,72
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,117,JAPAN,46.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,11,MALAYSIA,29.7,17.82,None,37
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,208,AUSTRALIA,49.5,29.7,None,28
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,34,CAMBODIA,27.0,0.0,None,36
SSI,Airlines,Online,Ticket Protector,0,5,SINGAPORE,2.12,0.59,None,48
C2B,Airlines,Online,Bronze Plan,0,97,SINGAPORE,69.55,17.39,F,36
SSI,Airlines,Online,Ticket Protector,0,159,SINGAPORE,10.04,2.81,None,48
JZI,Airlines,Online,Basic Plan,0,45,JAPAN,40.0,14.0,M,30
SSI,Airlines,Online,Ticket Protector,0,56,SINGAPORE,1.13,0.32,None,48
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,102,CANADA,99.0,0.0,None,39
EPX,Travel Agency,Online,Cancellation Plan,0,90,AUSTRIA,56.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,92,UNITED KINGDOM,79.0,0.0,None,36
C2B,Airlines,Online,Annual Silver Plan,0,367,SINGAPORE,259.2,64.8,F,29
EPX,Travel Agency,Online,Cancellation Plan,0,98,CHINA,42.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,3,MALAYSIA,10.0,0.0,None,44
EPX,Travel Agency,Online,Cancellation Plan,0,114,PHILIPPINES,19.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,88,SINGAPORE,67.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,12,HONG KONG,28.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,71,PERU,33.0,0.0,None,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,47,JAPAN,112.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,87,SINGAPORE,0.0,0.0,None,58
C2B,Airlines,Online,Gold Plan,0,13,SINGAPORE,98.0,24.5,M,39
EPX,Travel Agency,Online,Cancellation Plan,0,81,JAPAN,62.0,0.0,None,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,4,MALAYSIA,20.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,38,NEW ZEALAND,23.0,0.0,None,48
JWT,Airlines,Online,Value Plan,0,212,INDIA,50.0,20.0,F,118
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,9,THAILAND,25.0,0.0,None,65
EPX,Travel Agency,Online,Cancellation Plan,0,8,THAILAND,12.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,15,SRI LANKA,24.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,99,UNITED KINGDOM,69.3,41.58,None,48
EPX,Travel Agency,Online,Cancellation Plan,0,10,GERMANY,80.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,3,SINGAPORE,28.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,3,SINGAPORE,17.55,4.39,F,29
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,9,MALAYSIA,0.0,11.88,None,30
EPX,Travel Agency,Online,Cancellation Plan,0,30,THAILAND,10.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,14,THAILAND,29.7,17.82,None,37
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,32,MALAYSIA,20.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,23,SINGAPORE,47.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,33,ITALY,39.6,23.76,None,57
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,38,CAMBODIA,34.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,23,SINGAPORE,29.5,7.38,F,45
JZI,Airlines,Online,Basic Plan,0,1,"TAIWAN, PROVINCE OF CHINA",22.0,7.7,F,30
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,233,AUSTRALIA,29.7,17.82,None,33
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,40,SINGAPORE,20.0,0.0,None,67
EPX,Travel Agency,Online,Cancellation Plan,0,23,VIET NAM,30.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,17,MALAYSIA,20.0,0.0,None,38
EPX,Travel Agency,Online,Cancellation Plan,0,14,AUSTRALIA,45.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,15,BRUNEI DARUSSALAM,40.0,0.0,None,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,2,LAO PEOPLE'S DEMOCRATIC REPUBLIC,20.0,0.0,None,36
SSI,Airlines,Online,Ticket Protector,0,31,SINGAPORE,5.07,1.42,None,48
EPX,Travel Agency,Online,Cancellation Plan,0,7,THAILAND,36.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,52,THAILAND,20.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,25,UNITED STATES,22.0,0.0,None,34
SSI,Airlines,Online,Ticket Protector,0,2,SINGAPORE,1.13,0.32,None,48
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,16,UNITED ARAB EMIRATES,61.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,301,RUSSIAN FEDERATION,79.0,0.0,None,36
JZI,Airlines,Online,Value Plan,1,113,UNITED STATES,164.0,57.4,F,35
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,28,MALAYSIA,29.7,17.82,None,44
EPX,Travel Agency,Online,Cancellation Plan,0,13,PHILIPPINES,10.0,0.0,None,36
C2B,Airlines,Online,Silver Plan,0,25,SINGAPORE,95.25,23.81,F,34
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,21,AUSTRALIA,38.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,47,CHINA,12.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,17,THAILAND,55.0,0.0,None,37
JZI,Airlines,Online,Basic Plan,0,4,MYANMAR,18.0,6.3,M,45
EPX,Travel Agency,Online,2 way Comprehensive Plan,1,65,UNITED STATES,109.0,0.0,None,64
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,36,CHINA,21.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,38,NEW ZEALAND,37.0,0.0,None,38
EPX,Travel Agency,Online,Cancellation Plan,0,10,INDIA,56.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,12,SINGAPORE,29.5,7.38,M,27
SSI,Airlines,Online,Ticket Protector,0,158,SINGAPORE,5.27,1.48,None,48
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,21,INDONESIA,20.0,0.0,None,31
EPX,Travel Agency,Online,Cancellation Plan,0,67,UNITED STATES,75.0,0.0,None,44
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,41,"TAIWAN, PROVINCE OF CHINA",51.0,0.0,None,36
RAB,Airlines,Online,Value Plan,0,50,BRUNEI DARUSSALAM,15.0,6.0,M,33
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,4,MALAYSIA,39.6,23.76,None,47
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,16,AUSTRALIA,69.3,41.58,None,42
SSI,Airlines,Online,Ticket Protector,0,110,SINGAPORE,8.4,2.35,None,48
LWC,Travel Agency,Online,Single Trip Travel Protect Silver,0,59,"TAIWAN, PROVINCE OF CHINA",26.5,17.23,M,71
JZI,Airlines,Online,Basic Plan,0,25,MALAYSIA,22.0,7.7,F,42
EPX,Travel Agency,Online,Cancellation Plan,0,21,CHINA,28.0,0.0,None,35
C2B,Airlines,Online,Silver Plan,0,30,SINGAPORE,24.05,6.01,F,54
EPX,Travel Agency,Online,Cancellation Plan,0,5,UNITED KINGDOM,11.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,75,NEW ZEALAND,108.9,65.34,None,27
C2B,Airlines,Online,Annual Gold Plan,0,384,SINGAPORE,333.0,83.25,M,63
EPX,Travel Agency,Online,Cancellation Plan,0,26,VIET NAM,12.0,0.0,None,36
CCR,Travel Agency,Offline,Comprehensive Plan,0,94,MALAYSIA,29.0,9.57,M,76
JZI,Airlines,Online,Basic Plan,0,10,CHINA,26.0,9.1,M,37
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,16,VIET NAM,23.0,0.0,None,36
C2B,Airlines,Online,Silver Plan,0,16,SINGAPORE,64.35,16.09,M,14
C2B,Airlines,Online,Bronze Plan,0,29,SINGAPORE,0.0,8.0,F,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,33,GERMANY,105.0,0.0,None,35
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,224,JAPAN,53.0,0.0,None,36
TST,Travel Agency,Offline,Travel Cruise Protect,0,102,MALAYSIA,30.0,10.5,F,71
C2B,Airlines,Online,Annual Silver Plan,0,365,SINGAPORE,187.85,46.96,M,30
EPX,Travel Agency,Online,Cancellation Plan,0,91,SINGAPORE,10.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,80,JAPAN,39.6,23.76,None,31
JZI,Airlines,Online,Basic Plan,0,16,CHINA,26.0,9.1,M,33
EPX,Travel Agency,Online,Cancellation Plan,0,15,VIET NAM,10.0,0.0,None,29
EPX,Travel Agency,Online,Cancellation Plan,0,9,CHINA,18.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,40,SINGAPORE,36.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,22,GREECE,29.7,17.82,None,35
JZI,Airlines,Online,Basic Plan,0,40,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,F,40
C2B,Airlines,Online,Annual Gold Plan,0,366,SINGAPORE,432.9,108.22,M,28
EPX,Travel Agency,Online,Cancellation Plan,0,6,THAILAND,11.0,0.0,None,48
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,20,CANADA,69.3,41.58,None,59
EPX,Travel Agency,Online,Cancellation Plan,0,45,SINGAPORE,22.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,18,PHILIPPINES,43.0,0.0,None,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,12,INDONESIA,20.0,0.0,None,36
ART,Airlines,Online,24 Protect,0,11,MALAYSIA,8.62,3.02,M,48
EPX,Travel Agency,Online,Cancellation Plan,0,13,"TAIWAN, PROVINCE OF CHINA",23.0,0.0,None,26
C2B,Airlines,Online,Silver Plan,0,83,SINGAPORE,29.5,7.38,F,20
LWC,Travel Agency,Online,Annual Travel Protect Silver,0,494,UNITED STATES,229.8,149.37,F,31
EPX,Travel Agency,Online,Cancellation Plan,0,27,UNITED KINGDOM,10.0,0.0,None,36
C2B,Airlines,Online,Annual Silver Plan,0,366,SINGAPORE,252.85,63.21,F,59
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,42,CHINA,23.0,0.0,None,36
C2B,Airlines,Online,Annual Silver Plan,0,365,SINGAPORE,216.0,54.0,M,65
LWC,Travel Agency,Online,Single Trip Travel Protect Platinum,0,5,INDONESIA,31.0,20.15,M,16
C2B,Airlines,Online,Silver Plan,0,5,SINGAPORE,34.8,8.7,F,23
JZI,Airlines,Online,Basic Plan,0,55,THAILAND,22.0,7.7,M,71
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,14,VIET NAM,20.0,0.0,None,29
C2B,Airlines,Online,Bronze Plan,0,47,SINGAPORE,53.0,13.25,F,21
EPX,Travel Agency,Online,Cancellation Plan,0,33,"KOREA, REPUBLIC OF",10.0,0.0,None,36
SSI,Airlines,Online,Ticket Protector,0,77,SINGAPORE,7.84,2.2,None,48
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,15,SINGAPORE,59.4,35.64,None,31
EPX,Travel Agency,Online,Cancellation Plan,0,2,INDIA,12.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,48,ITALY,19.8,11.88,None,31
EPX,Travel Agency,Online,Cancellation Plan,0,9,HONG KONG,22.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,87,UNITED STATES,65.0,0.0,None,35
EPX,Travel Agency,Online,Cancellation Plan,0,24,UNITED STATES,80.0,0.0,None,48
EPX,Travel Agency,Online,Cancellation Plan,0,148,"KOREA, REPUBLIC OF",28.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,11,AUSTRALIA,26.0,9.1,F,41
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,10,VIET NAM,41.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,67,THAILAND,16.0,0.0,None,23
C2B,Airlines,Online,Bronze Plan,0,9,SINGAPORE,18.0,4.5,M,27
EPX,Travel Agency,Online,Cancellation Plan,0,7,HONG KONG,15.0,0.0,None,36
RAB,Airlines,Online,Value Plan,0,8,BRUNEI DARUSSALAM,15.0,6.0,None,50
KML,Travel Agency,Online,Value Plan,0,3,INDONESIA,22.0,8.36,M,48
C2B,Airlines,Online,Silver Plan,0,95,SINGAPORE,29.5,7.38,M,32
JZI,Airlines,Online,Basic Plan,0,88,PHILIPPINES,52.0,18.2,F,38
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,2,JAPAN,83.0,0.0,None,23
EPX,Travel Agency,Online,Cancellation Plan,0,61,NEW ZEALAND,18.0,0.0,None,27
EPX,Travel Agency,Online,Cancellation Plan,0,84,THAILAND,10.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,8,MALAYSIA,14.0,0.0,None,28
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,78,THAILAND,20.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,14,CHINA,26.0,9.1,M,51
EPX,Travel Agency,Online,Cancellation Plan,0,81,SINGAPORE,57.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,33,KAZAKHSTAN,80.0,0.0,None,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,27,OMAN,20.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,106,MALAYSIA,13.0,0.0,None,36
TST,Travel Agency,Offline,Travel Cruise Protect,0,10,THAILAND,30.0,10.5,M,82
JWT,Airlines,Online,Value Plan,0,1,INDIA,31.0,12.4,M,118
EPX,Travel Agency,Online,Cancellation Plan,0,25,THAILAND,14.0,0.0,None,39
EPX,Travel Agency,Online,Cancellation Plan,0,66,"KOREA, REPUBLIC OF",23.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,62,"TAIWAN, PROVINCE OF CHINA",22.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,17,SINGAPORE,20.0,5.0,F,21
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,291,HONG KONG,20.0,0.0,None,36
TST,Travel Agency,Offline,Travel Cruise Protect,0,5,THAILAND,30.0,10.5,M,55
EPX,Travel Agency,Online,Cancellation Plan,1,4,FRANCE,11.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,19,ITALY,19.8,11.88,None,28
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,31,AUSTRALIA,39.6,23.76,None,54
EPX,Travel Agency,Online,Cancellation Plan,0,20,PHILIPPINES,10.0,0.0,None,35
EPX,Travel Agency,Online,Cancellation Plan,0,57,"TAIWAN, PROVINCE OF CHINA",24.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,11,PHILIPPINES,50.0,0.0,None,35
EPX,Travel Agency,Online,Cancellation Plan,0,18,JAPAN,56.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,6,ITALY,12.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,21,ITALY,80.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,19,SINGAPORE,26.5,6.63,F,36
EPX,Travel Agency,Online,Cancellation Plan,0,144,CANADA,80.0,0.0,None,58
JZI,Airlines,Online,Value Plan,0,18,UNITED KINGDOM,87.0,30.45,F,41
C2B,Airlines,Online,Bronze Plan,0,8,SINGAPORE,40.0,10.0,F,27
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,53,ISRAEL,112.0,0.0,None,36
JZI,Airlines,Online,Value Plan,0,16,TURKEY,67.0,23.45,M,43
LWC,Travel Agency,Online,Annual Travel Protect Platinum,0,364,UNITED STATES,323.4,210.21,F,58
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,12,UNITED KINGDOM,49.5,29.7,None,29
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,6,THAILAND,0.0,17.82,None,32
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,10,HONG KONG,20.0,0.0,None,21
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,6,MALAYSIA,87.0,0.0,None,36
C2B,Airlines,Online,Annual Silver Plan,0,367,SINGAPORE,161.0,40.25,M,37
C2B,Airlines,Online,Silver Plan,0,16,SINGAPORE,67.8,16.95,M,39
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,11,UNITED STATES,87.0,0.0,None,32
C2B,Airlines,Online,Bronze Plan,0,19,SINGAPORE,20.0,5.0,F,27
C2B,Airlines,Online,Silver Plan,0,14,SINGAPORE,18.5,4.63,F,35
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,8,THAILAND,55.0,0.0,None,35
C2B,Airlines,Online,Bronze Plan,0,23,SINGAPORE,47.0,11.75,M,31
EPX,Travel Agency,Online,Cancellation Plan,0,33,FINLAND,16.0,0.0,None,36
KML,Travel Agency,Online,Value Plan,0,30,NETHERLANDS,75.0,28.5,F,48
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,23,SINGAPORE,20.0,0.0,None,40
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,46,AUSTRALIA,69.3,41.58,None,32
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,31,THAILAND,22.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,14,THAILAND,22.0,7.7,M,59
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,8,AUSTRALIA,29.7,17.82,None,44
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,4,UNITED KINGDOM,0.0,23.76,None,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,100,UNITED KINGDOM,89.1,53.46,None,55
C2B,Airlines,Online,Annual Silver Plan,0,366,SINGAPORE,161.0,40.25,F,28
ADM,Travel Agency,Online,Premier Plan,0,197,MOROCCO,86.0,32.68,M,22
SSI,Airlines,Online,Ticket Protector,0,112,SINGAPORE,11.06,3.1,None,48
EPX,Travel Agency,Online,Cancellation Plan,0,32,FRANCE,80.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,82,UNITED STATES,19.8,11.88,None,28
JZI,Airlines,Online,Basic Plan,0,28,MALAYSIA,18.0,6.3,F,42
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,28,FRANCE,69.3,41.58,None,53
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,15,UNITED STATES,112.0,0.0,None,47
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,11,RUSSIAN FEDERATION,98.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,68,THAILAND,29.7,17.82,None,37
C2B,Airlines,Online,Bronze Plan,0,8,SINGAPORE,27.0,6.75,M,59
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,7,MALAYSIA,39.6,23.76,None,38
EPX,Travel Agency,Online,Cancellation Plan,0,40,GERMANY,30.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,13,PHILIPPINES,20.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,264,CANADA,78.0,0.0,None,31
EPX,Travel Agency,Online,Cancellation Plan,0,38,MALAYSIA,55.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,32,HONG KONG,20.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,43,THAILAND,21.0,0.0,None,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,40,CANADA,33.0,0.0,None,29
EPX,Travel Agency,Online,Cancellation Plan,0,17,PHILIPPINES,10.0,0.0,None,20
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,8,NEW ZEALAND,59.4,35.64,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,6,VIET NAM,10.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,29,AUSTRALIA,101.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,6,INDONESIA,44.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,21,UNITED STATES,112.0,0.0,None,51
EPX,Travel Agency,Online,Cancellation Plan,0,9,"KOREA, REPUBLIC OF",45.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,12,HONG KONG,22.0,7.7,M,39
EPX,Travel Agency,Online,Cancellation Plan,0,3,BANGLADESH,25.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,10,INDIA,20.0,0.0,None,36
JZI,Airlines,Online,Basic Plan,0,84,CHINA,69.0,24.15,M,14
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,59,JAPAN,55.0,0.0,None,36
TST,Travel Agency,Offline,Travel Cruise Protect,0,57,MALAYSIA,30.0,10.5,M,32
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,63,JAPAN,-112.0,0.0,None,26
LWC,Travel Agency,Online,Single Trip Travel Protect Silver,1,29,UNITED KINGDOM,47.0,30.55,F,38
TST,Travel Agency,Offline,Travel Cruise Protect,0,38,MALAYSIA,30.0,10.5,M,56
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,48,NEPAL,41.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,14,SINGAPORE,13.5,3.38,M,40
C2B,Airlines,Online,Silver Plan,0,12,SINGAPORE,0.0,11.7,M,49
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,55,UNITED STATES,20.0,0.0,None,32
JZI,Airlines,Online,Basic Plan,0,30,CHINA,40.0,14.0,M,71
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,47,SINGAPORE,112.0,0.0,None,36
C2B,Airlines,Online,Silver Plan,1,46,SINGAPORE,95.0,23.75,M,24
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,36,NORWAY,89.1,53.46,None,30
EPX,Travel Agency,Online,1 way Comprehensive Plan,0,30,"KOREA, REPUBLIC OF",20.0,0.0,None,27
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,33,"KOREA, REPUBLIC OF",42.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,4,MALAYSIA,20.0,0.0,None,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,21,AUSTRALIA,29.7,17.82,None,28
JWT,Airlines,Online,Value Plan,0,1,INDIA,124.0,49.6,M,118
JZI,Airlines,Online,Basic Plan,0,7,CHINA,26.0,9.1,M,44
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,90,AUSTRALIA,79.2,47.52,None,47
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,11,AUSTRALIA,29.7,17.82,None,32
C2B,Airlines,Online,Bronze Plan,0,22,SINGAPORE,20.0,5.0,M,56
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,0,41,JAPAN,69.3,41.58,None,46
EPX,Travel Agency,Online,Cancellation Plan,0,3,CHINA,20.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,16,CZECH REPUBLIC,10.0,0.0,None,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,8,PHILIPPINES,82.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,5,CHINA,80.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,5,SINGAPORE,16.0,4.0,M,62
C2B,Airlines,Online,Bronze Plan,0,9,SINGAPORE,35.25,8.81,F,28
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,39,CHINA,38.0,0.0,None,36
C2B,Airlines,Online,Silver Plan,0,28,SINGAPORE,39.0,9.75,F,39
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,6,MALAYSIA,22.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,19,CHINA,34.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,17,JAPAN,39.0,0.0,None,36
C2B,Airlines,Online,Bronze Plan,0,5,SINGAPORE,13.5,3.38,F,32
EPX,Travel Agency,Online,2 way Comprehensive Plan,0,7,MALAYSIA,20.0,0.0,None,33
EPX,Travel Agency,Online,Cancellation Plan,0,59,COLOMBIA,80.0,0.0,None,36
EPX,Travel Agency,Online,Cancellation Plan,0,6,CHINA,33.0,0.0,None,36
